Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,Ladder score
1,Finland,Western Europe,7.808,1.285,1.5,0.961,0.662,0.16,0.478,2020,7.808
2,Denmark,Western Europe,7.645,1.327,1.503,0.979,0.666,0.243,0.498,2020,7.645
3,Switzerland,Western Europe,7.56,1.391,1.472,1.04,0.629,0.269,0.408,2020,7.56
4,Iceland,Western Europe,7.504,1.327,1.548,1.003,0.662,0.361,0.334,2020,7.504
5,Norway,Western Europe,7.488,1.424,1.495,1.008,0.67,0.288,0.434,2020,7.488
